@contest "第 49 届 ICPC 国际大学生程序设计竞赛区域赛成都站 - 正式赛"
@contlen 300
@problems 13
@teams 409
@submissions 4627
@p A,A,20,0
@p B,B,20,0
@p C,C,20,0
@p D,D,20,0
@p E,E,20,0
@p F,F,20,0
@p G,G,20,0
@p H,H,20,0
@p I,I,20,0
@p J,J,20,0
@p K,K,20,0
@p L,L,20,0
@p M,M,20,0
@t 1,0,1,"北京大学 - 赤橙黄绿蓝紫 - 蒋凌宇, 钱易"
@t 2,0,1,"友情参赛 - 谁都没有想到被我们寄予厚望的… - 杜瑜皓, 彭思进, 罗恺"
@t 3,0,1,"清华大学 - Escape - 任舍予, 郭雨豪, 郑玄晔"
@t 4,0,1,"清华大学 - 报名晚了 - 董亦骐, 钟自厚, 崔隽章"
@t 5,0,1,"北京大学 - 小杨树 - 杨欣烨, 疏彦凯, 肖千与"
@t 6,0,1,"清华大学 - Make 519 great again - 冯政玮, 肖子尧, 吴畅"
@t 7,0,1,"浙江大学 - WF 在逃三人团 - 李克成, 周转, 朱睿哲"
@t 8,0,1,"中山大学 - 中山大学_没有想法 - 陈景泰, 吴永聪, 薛炜鹏"
@t 9,0,1,"南方科技大学 - 南风点点 - 林政宇, 薛哲, 曾子华"
@t 10,0,1,"复旦大学 - 密码八个八 - 陈禹卓, 杜泊谷, 曾添琪"
@t 11,0,1,"东北大学 - 东北大学_出毛！ - 苏焜, 仝家驹, 周尧"
@t 12,0,1,"南京大学 - 优质解答：我不知道 - 陈弘毅, 林荣恩, 郑欣"
@t 13,0,1,"中国科学技术大学 - Ben神，启动 - 陈聆祎, 陈骆鑫, 樊澄宇"
@t 14,0,1,"南京航空航天大学 - 错误 - 吕俊琪, 赵乐坤, 胡昊天"
@t 15,0,1,"北京大学 - 饿鳄鱼 - 陈易涵, 张乐天, 程伟伦"
@t 16,0,1,"南京大学 - 食堂难民走线和园卖花 - 杨宇轩, 陈思睿, 冯烨聪"
@t 17,0,1,"香港中文大学（深圳） - 通顶雪道 - 忙秋阳, 郭青硕, 孙悠然"
@t 18,0,1,"杭州电子科技大学 - 杭电3队 - 闻人雨泽, 周靖凯, 傅景康"
@t 19,0,1,"北京大学 - 去年看错题了。 - 郑皓元, 闫昕, 汪之茗"
@t 20,0,1,"南京大学 - 智慧之树 - 金昕炜, 陈新, 李睿星"
@t 21,0,1,"复旦大学 - 学海无涯，回头是岸 - 崔博钧, 阚子淳, 莫骐彰"
@t 22,0,1,"浙江大学 - 托腮 - 陈君林, 王子尧, 黄旭彬"
@t 23,0,1,"浙江工业大学 - 月球猫猫 - 陈泓睿, 陆徐豪, 李汶芝"
@t 24,0,1,"哈尔滨工业大学 - W4p3r Fan Club - 方智鉴, 范嘉涵, 孔敬德"
@t 25,0,1,"中山大学 - 中山大学_古希腊掌管罚时的神 - 雷灏, 覃锐麟, 刘开予"
@t 26,0,1,"南方科技大学 - 南方科技大学-皮尔森 - 王紫漩, 钟雨薇, 项楚涵"
@t 27,0,1,"中国科学技术大学 - 摸鱼之魂终将归来 - 温家睿, 林度, 陈凌峰"
@t 28,0,1,"西安交通大学 - 宇宙将为你闪烁 - 王禹皓, 石皓文, 邓熙健"
@t 29,0,1,"武汉科技大学 - RELX悦刻幻影PRO - 孙煜恒, 朱俊杰, 万家梁"
